What,Link,Price (in $),Legal/Illegal/Depends,Why,Category,Seller,Positive feedback (of the seller),Negative feedback (of the seller),Number of stars,Number of posts,Ships from
House of Cards and Philosophy Underwoods Republic 2016 (ebook),http://silkroad7rn2puhj.onion/?listing=obUcTkrC0JoFkwycJ1zvUPD6uhSKvNAXoU175f94qn9PXxrfnfR7vV2d4JpoVp09,4,Depends,Depends on if the copy is aquired illegaly/is copied since it then it is copyright infringement ,Books / Guides,pckabml,1260,0,2,6503,Internet
The Botnet Guide,http://silkroad7rn2puhj.onion/?listing=3PWgkQ9yvaz5wV50nOhMnMyOGTY3VHQNWmu62ttmHhe53Z4enbqOndauxzmG72UT,1,Depends,"Purchasing the guide is fine, as long as it is not a copy of an existing book. Then you would be infringing copyrights. The guide may contain methodologies that are illegal to execute.",Books / Guides,PaperAgent,4431,8,3,574,Unspecified
The Walking Dead - PC game,http://silkroad7rn2puhj.onion/?listing=TdG6pDd7mrXnn13EQBoBKo24wMJcMjHeBParS4n4k0eNzXRDY5Fjg7bTHkvTJ3yM,4,Depends,Depends on if the copy that he is selling is illegal. If it is a copied or cracked version then its illegal. ,Software,Junkiepig666,1843,0,2,518,Unspecified
The Ultimate Burger Book Delicious Meat and Vegetarian,http://silkroad7rn2puhj.onion/?listing=dxjsQhyQTCknH6f8rWsBpmbDwo7brQQJCy2TWqhqsGS1CxxtJevyEM32zySfDhpF,4,Legal,"Nothing wrong here, Just a someone selling their delicious burger recipies",Books / Guides,Junkiepig666,1843,0,2,518,Unspecified
Your Brain on Food: How Chemicals Control Your Thoughts and Feel (book),http://silkroad7rn2puhj.onion/?listing=rnQtoGt9097HEyqhcCCazwMnc0kDdvnKW2399k78j4FprwMJyPjo0vPcvzgOjHY5,2,Depends,Depending on whether or not the book is an illegal copy of the book,Books / Guides,Junkiepig666,1843,0,2,518,Unspecified
A practical guide to suicide,http://silkroad7rn2puhj.onion/?listing=aZq1Mc70wsHn7TSx0fJXzvtCyHbpqJnFhR6ut3tek2GfJYSH5aetMOw0VOpAWQG5,2,Legal,Owning such a document is not illegal. Suicide is difficult to define legal or illegal.,Books / Guides,Junkiepig666,1843,0,2,518,Unspecified
Mein Kampf - A. Hitler,http://silkroad7rn2puhj.onion/?listing=bZ2XDw9fbX5bQroxrkwEG4Mha9fqBMZdkQ1pBzJcMD4augOZG9eP3qwSoR8qbWJB,2,Illegal,This Book is illegal to own / distribute,Books / Guides,Junkiepig666,1843,0,2,518,Unspecified
white and yellow xanax,http://silkroad7rn2puhj.onion/?listing=xNCP6aK0cYHDT0Tm5VO9SK76m83PYqwM2yZwPkws84wR4E2xZEvsPsnzqeDDJ1P0,2,Depends,Benzos are illegal to own if not prescriped,Drugs,Donaldsilk,30,0,0,254,USA
0.4g PURE UNCUT China White Heroin ,http://silkroad7rn2puhj.onion/?listing=tZJUYxe1tfr6y69RpHg6vYo441ezkJ4SjCn8zGyhodcaZbsCkP8VnmOfatUA3NTa,60,Illegal,Heroin is illegal in the Netherlands,Drugs,Micheal555,75,0,0,230,Unspecified
Glock17 GEN4,http://silkroad7rn2puhj.onion/?listing=EO4JW7CzhZx08Yr4zdMBcVu59GeQEO3JawTxtVmQvXQsw6mmYxn2HWvFcQWhdPs5,250,Illegal,Firearms are prohibited in the netherlands ,Weapons,stokeontrent,1148,385,2,181,USA
9mm GLOCK 17 GEN 4 2015 INC 2 CLIPS AND 250 ROUNDS AMMO,http://silkroad7rn2puhj.onion/?listing=JraEjuqqXznjMOGZhGwKhNHsNAnGWZqeEFkozPTMC6vPH2oq9Y1fm8Ox9z4UOjyT,225,Illegal,Selling guns without authorization is illegal ,Weapons,Stokiebuyer,1915,0,2,150,USA
Guide on hacking WPA/ WPA-2 Wifi Password,http://silkroad7rn2puhj.onion/?listing=kkgtemoAphXjYmAfSY7zoQqCD0nfSRg32DkWpNWSvu1HU1pnPma22F45EfaWx7Oo,1,Legal,"Purchasing the guide is fine, using the methodologies in the guide to break into a computer without consent is illegal.",Books / Guides,Awwwone,18476,179,5,122,Unspecified
Marlboro cigarette case stun gun,http://silkroad7rn2puhj.onion/?listing=6gWSf1sZJ5p3eHJ5gnF8WkBAuRA8JXwE4HXY8EyG9b9dkHXFucCFBDFvVGtddejX,59,Illegal,you are not allowed to carry tasers in the netherlands,Weapons,fake,5,0,0,121,Unspecified
